"","ensembl_gene_id","ensembl_transcript_id","hgnc_symbol"
"16969","ENSG00000254093","ENST00000519088","PINX1"
"16970","ENSG00000172331","ENST00000393132","BPGM"
"16971","ENSG00000006459","ENST00000397560","KDM7A"
"16972","ENSG00000164896","ENST00000353841","FASTK"
"16973","ENSG00000164896","ENST00000297532","FASTK"
"16974","ENSG00000164896","ENST00000482571","FASTK"
"16975","ENSG00000104687","ENST00000221130","GSR"
"16976","ENSG00000104687","ENST00000537535","GSR"
"16977","ENSG00000104687","ENST00000541648","GSR"
"16978","ENSG00000104687","ENST00000546342","GSR"
"16979","ENSG00000091140","ENST00000417551","DLD"
"16980","ENSG00000091140","ENST00000440410","DLD"
"16981","ENSG00000091140","ENST00000437604","DLD"
"16982","ENSG00000197265","ENST00000355904","GTF2E2"
"16983","ENSG00000090266","ENST00000476279","NDUFB2"
"16984","ENSG00000090266","ENST00000461457","NDUFB2"
"16985","ENSG00000133606","ENST00000255977","MKRN1"
"16986","ENSG00000133606","ENST00000443720","MKRN1"
"16987","ENSG00000082014","ENST00000392811","SMARCD3"
"16988","ENSG00000064419","ENST00000265388","TNPO3"
"16989","ENSG00000064419","ENST00000471234","TNPO3"
"16990","ENSG00000128590","ENST00000249356","DNAJB9"
"16991","ENSG00000104213","ENST00000251630","PDGFRL"
"16992","ENSG00000197448","ENST00000409500","GSTK1"
"16993","ENSG00000197448","ENST00000443571","GSTK1"
"16994","ENSG00000197448","ENST00000358406","GSTK1"
"16995","ENSG00000197448","ENST00000479303","GSTK1"
"16996","ENSG00000059378","ENST00000263549","PARP12"
"16997","ENSG00000091129","ENST00000351718","NRCAM"
"16998","ENSG00000091129","ENST00000379024","NRCAM"
"16999","ENSG00000091129","ENST00000379028","NRCAM"
"17000","ENSG00000091129","ENST00000413765","NRCAM"
"17001","ENSG00000070756","ENST00000318607","PABPC1"
"17002","ENSG00000179526","ENST00000398712","SHARPIN"
"17003","ENSG00000070718","ENST00000518421","AP3M2"
"17004","ENSG00000066855","ENST00000262146","MTFR1"
"17005","ENSG00000066855","ENST00000458689","MTFR1"
"17006","ENSG00000083168","ENST00000396930","KAT6A"
"17007","ENSG00000083168","ENST00000485568","KAT6A"
"17008","ENSG00000133739","ENST00000360375","LRRCC1"
"17009","ENSG00000147573","ENST00000315962","TRIM55"
"17010","ENSG00000147573","ENST00000353317","TRIM55"
"17011","ENSG00000147573","ENST00000276573","TRIM55"
"17012","ENSG00000147573","ENST00000350034","TRIM55"
"17013","ENSG00000034677","ENST00000519449","RNF19A"
"17014","ENSG00000104231","ENST00000523096","ZFAND1"
"17015","ENSG00000104231","ENST00000220669","ZFAND1"
"17016","ENSG00000104231","ENST00000519523","ZFAND1"
"17017","ENSG00000147475","ENST00000276461","ERLIN2"
