"","geneid","hl.ratio","pval"
"7115","IKBKG","-0.44635637815552798","0.195534647105577"
"7116","WDR77","3.2513363158997798E-2","0.803287073590499"
"7117","DTD2","NA","NA"
"7118","ITGB3","1.67185164385494","3.6208340215300601E-3"
"7119","DUT","-0.74242810882797505","6.3677943678915202E-4"
"7120","TRIP6","-0.60116228541670202","1.68343367331052E-2"
"7121","RNF31","NA","NA"
"7122","RNF31","NA","NA"
"7123","TRAF3IP2-AS1","NA","NA"
"7124","NISCH","NA","NA"
"7125","GEMIN4","-8.2623036810932401E-2","0.80113445645052195"
"7126","MKL2","NA","NA"
"7127","C5orf42","NA","NA"
"7128","PAAF1","-0.160848051031522","0.88528865548159996"
"7129","TSPO","-8.2657724272286001E-2","0.78503490650710905"
"7130","TCTN3","8.1488209859969296E-2","0.99127566986217397"
"7131","SRM","7.0540854397316499E-2","0.41460697314324702"
"7132","GINS2","NA","NA"
"7133","GCHFR","NA","NA"
"7134","KLC2","-0.66044041493870798","9.7862570492135495E-3"
"7135","CALM2","-0.11452793515826901","0.38733825502678099"
"7136","TMEM178A","NA","NA"
"7137","MPC1","NA","NA"
"7138","GJC1","NA","NA"
"7139","LOXL2","-0.220358835680148","0.10197204661553699"
"7140","NAA50","-0.25463052055075103","0.13629721478299001"
"7141","PPP2R1A","2.3556657370246599E-2","0.57466326908977095"
"7142","LEMD2","-0.43018350351863299","1.71934809853122E-2"
"7143","CCDC53","0.43249436055721502","0.25473736697556698"
"7144","PTOV1","3.91749290087076","5.8583617338348097E-2"
"7145","ARHGAP24","-0.82901707914168499","0.48757231067391599"
"7146","CEBPG","NA","NA"
"7147","TCEANC2","NA","NA"
"7148","PRPSAP2","-0.55249792747892101","9.8531235510286204E-3"
"7149","AACS","-3.1255196161000101E-2","0.953485115913839"
"7150","EIF3C","0.127961423032765","1.57281683729085E-2"
"7151","FAM92A1","NA","NA"
"7152","BTD","NA","NA"
"7153","OFD1","-1.7354367554358801","0.35875873870071301"
"7154","CDC16","NA","NA"
"7155","ZYG11B","NA","NA"
"7156","SDHA","0.13990348414123599","0.16664019482145501"
"7157","PHF1","NA","NA"
"7158","GPC6","NA","NA"
"7159","LDHA","4.3992898739313099E-2","0.123604287750933"
"7160","SLC25A43","NA","NA"
"7161","NAA38","-0.19368421227619401","0.88796266279111502"
"7162","MEF2D","-0.79326437480831002","0.17774750847541701"
"7163","TMEM222","8.5673285484912001E-2","0.97350423271096798"
"7164","EMC9","-0.703663464846214","0.62826405236725003"
"7165","PTPLA","NA","NA"
"7166","HPS3","NA","NA"
"7167","RAI14","-9.2395196796550894E-2","9.3555915953508595E-2"
"7168","DDB1","6.0069963838576101E-2","0.29336737135296298"
"7169","RNF169","NA","NA"
"7170","DCXR","0.52342590863652005","8.1240185491616296E-2"
"7171","TMEM236","NA","NA"
"7172","TMEM236","NA","NA"
"7173","WDR4","NA","NA"
"7174","BTBD1","NA","NA"
"7175","ELAC2","0.27069878293412097","0.92701877237500696"
"7176","EIF2B1","2.6250933742198002E-2","0.87342520839656401"
"7177","ARL15","0.22886447552640701","0.928620096014383"
"7178","SNAPC5","NA","NA"
"7179","MECP2","-7.3118771165247599E-3","0.94386259675558504"
"7180","OPTN","-1.58322837920849","1.05585909294152E-4"
"7181","MAN2C1","NA","NA"
"7182","METTL10","NA","NA"
"7183","SIK1","NA","NA"
"7184","RER1","4.25503125690396E-2","0.70068964186727201"
"7185","GCSH","-0.30311481490883602","0.77450153294726298"
"7186","RCOR3","-0.42318938643519","0.57150848206461302"
"7187","LTBP3","NA","NA"
"7188","CD99L2","NA","NA"
"7189","FLCN","2.0371270162626298","0.333690440458008"
"7190","FLCN","2.0371270162626298","0.333690440458008"
"7191","CHST12","NA","NA"
"7192","PTK2","-0.41372917717019803","8.5381552841369002E-2"
"7193","CYTH2","7.6749470242565301E-2","0.98980941522940102"
"7194","TXN2","NA","NA"
"7195","ARSK","NA","NA"
"7196","DTD1","0.174757722989834","0.153702029143411"
"7197","VPS51","-0.42276881568494501","0.113180665822278"
"7198","CIRBP","9.8834226129489597E-2","0.79907633391833499"
"7199","LENG8","10.6926683000822","1.15880319410674E-118"
"7200","TTK","NA","NA"
"7201","IL11RA","NA","NA"
"7202","PSMG3","NA","NA"
"7203","AP5Z1","NA","NA"
"7204","PFKFB2","NA","NA"
"7205","PRPF6","-0.187864092756965","4.8077352512194797E-2"
"7206","CHTF8","NA","NA"
"7207","CHTF8","NA","NA"
"7208","GDI2","3.3938936332851097E-2","0.44895992809444302"
"7209","GPATCH4","NA","NA"
"7210","LAYN","NA","NA"
"7211","ERAP1","5.64382754543091E-2","0.62734580335525003"
"7212","RPA2","-0.34535606253336298","0.17114128268884601"
"7213","PKD1P1","NA","NA"
"7214","PKD1P1","NA","NA"
"7215","PKD1P1","NA","NA"
"7216","IFI27L1","NA","NA"
"7217","PIK3CA","-8.0541749089767904","4.5576441009603699E-5"
"7218","CTD-2228K2.5","NA","NA"
"7219","MIB2","NA","NA"
"7220","ZNF562","NA","NA"
"7221","MEAF6","NA","NA"
"7222","LMLN","NA","NA"
"7223","AP1B1","4.7091169189335799E-2","0.66339084855012398"
"7224","CCDC152","NA","NA"
"7225","CA9","NA","NA"
"7226","MFI2","NA","NA"
"7227","OGFR","-0.63668345711516205","3.1084599082415501E-4"
"7228","DYNLRB1","0.40820020355304398","0.86636858567531805"
"7229","LSMD1","NA","NA"
"7230","CKAP4","-4.6494896995538902E-2","0.136881644576552"
"7231","HDDC2","-0.67771802177190799","0.53960138108288702"
"7232","FTL","-0.49170429674483901","2.1216440867013499E-2"
"7233","ECE1","-1.0096026452581699","2.6806889453203E-6"
"7234","ATP5D","4.1712011764743998E-2","0.89195968397368497"
"7235","GPM6B","NA","NA"
"7236","PIGN","0.39343816672252802","0.88695276368581699"
"7237","FAM172A","NA","NA"
"7238","NABP2","NA","NA"
"7239","GLYCTK","NA","NA"
"7240","TRAPPC2L","0.58400911389813404","0.75810060875839202"
"7241","SCARB1","NA","NA"
"7242","C19orf48","NA","NA"
"7243","FUT4","NA","NA"
"7244","FAM120C","NA","NA"
"7245","COL5A2","-0.25622162779843899","6.8909400536826204E-2"
"7246","PCDHGB7","NA","NA"
"7247","CARS2","NA","NA"
"7248","AP2A2","-0.92190562782525298","0.21731239818300599"
"7249","SRA1","-0.945840221972162","1.3446426448191299E-2"
"7250","SDHC","NA","NA"
"7251","CYTH1","NA","NA"
"7252","DDAH1","-0.130098119180174","0.23994835490408201"
"7253","R3HDM4","NA","NA"
"7254","ZNF48","NA","NA"
"7255","LMBR1L","NA","NA"
"7256","ZBTB8OS","0.216086597956161","0.76574980987966901"
"7257","UBE2O","4.5565769010123901E-2","0.75183710605587595"
"7258","SLC4A8","NA","NA"
"7259","SYNJ2BP","0.14889489166372599","0.590495370366376"
"7260","RELA","-0.50123771622667901","7.0827039705028696E-4"
"7261","WRNIP1","1.18370800071864","0.63318934448724495"
"7262","TEAD1","-0.521087654416586","0.496225839555967"
"7263","NPDC1","NA","NA"
"7264","DUSP1","NA","NA"
"7265","SCLT1","NA","NA"
"7266","CCDC124","-9.2411342772102695E-2","0.62658743069003497"
"7267","RAB1B","-8.3674014270973998E-2","0.51802057792769796"
"7268","ATP5S","-0.28311535722519499","0.89294693504114697"
"7269","FBXO9","NA","NA"
"7270","MRPL51","-1.4258947706013301","0.40035851867405298"
"7271","POP1","-3.6855937496832102E-2","0.88577306647264098"
"7272","MITD1","NA","NA"
"7273","DLG5","NA","NA"
"7274","ADAMTS6","NA","NA"
"7275","ARSD","NA","NA"
"7276","XG","NA","NA"
"7277","SGCB","0.22348008093828001","0.73461580609431698"
"7278","FURIN","NA","NA"
"7279","TMEM69","NA","NA"
"7280","HERC3","NA","NA"
"7281","ASF1A","3.3039561580182897E-2","0.97560855721707795"
"7282","C11orf80","NA","NA"
"7283","SMARCE1","-0.62216887382464103","0.245313272688263"
"7284","RBMS2","-1.71613332724096","2.0351992542562302E-5"
"7285","ZCRB1","NA","NA"
"7286","ZNRF2","NA","NA"
"7287","AP5B1","NA","NA"
"7288","ZFYVE26","-4.58172103035729E-2","0.92951056973834101"
"7289","MRPS21","-0.11114553450921701","0.86142307060822199"
"7290","OLFML3","-1.06711485897548","8.3125283630421705E-6"
"7291","COA4","NA","NA"
"7292","SCNN1A","NA","NA"
"7293","VCL","-6.12873423109212E-2","1.7306584173693199E-2"
"7294","COPS6","-8.2035423401331506E-2","0.487740281563463"
"7295","GEMIN6","7.3943084762150904E-2","0.93289395389115803"
"7296","PCDHGB3","NA","NA"
"7297","RP4-559A3.7","NA","NA"
"7298","DNAJA3","-0.33426059793811802","0.36898518522705898"
"7299","PTGES3","-3.2720035527011998E-2","0.71833976875808603"
"7300","BDH2","NA","NA"
"7301","AKAP7","NA","NA"
"7302","POLQ","NA","NA"
"7303","DONSON","NA","NA"
"7304","ELMOD1","NA","NA"
"7305","NECAB1","NA","NA"
"7306","CHAMP1","-0.84884513417747598","3.7025989626400697E-2"
"7307","FOXP1","NA","NA"
"7308","WDR70","-0.28409916034737898","0.807305237220307"
"7309","CDK16","-4.8196848810117897E-2","0.92453536284390703"
"7310","CRBN","NA","NA"
"7311","F8A3","NA","NA"
"7312","B9D2","NA","NA"
"7313","ORMDL2","NA","NA"
"7314","DTNB","NA","NA"
"7315","ILDR2","NA","NA"
"7316","ESD","0.12940711681285499","0.107407543745763"
"7317","TSPAN4","NA","NA"
"7318","AGRN","NA","NA"
"7319","TRIP10","-0.30298818813240302","0.13418081201926099"
"7320","TMEM186","NA","NA"
"7321","OSBPL1A","NA","NA"
"7322","ORC2","-0.53380479859978103","0.79775264389469702"
"7323","FAM111A","NA","NA"
"7324","KCTD20","NA","NA"
"7325","NBPF24","NA","NA"
"7326","MRPS33","-0.28912758506207997","0.67177965050504995"
"7327","FOXP4","NA","NA"
"7328","AHSA2","NA","NA"
"7329","SLC23A3","NA","NA"
"7330","ZNF507","NA","NA"
"7331","TADA1","NA","NA"
"7332","BAK1","NA","NA"
"7333","MAN1B1","-0.81350947350214198","8.5794121217100099E-3"
"7334","NGFR","-2.0811770350129","0.29052561639069302"
"7335","C21orf59","NA","NA"
"7336","ALDOA","0.135110715055349","4.4993601557691602E-2"
"7337","NFX1","NA","NA"
"7338","STAU2","-5.93130687470721","4.1610243329090304E-3"
"7339","QRICH2","NA","NA"
"7340","EIF2AK1","NA","NA"
"7341","REEP6","NA","NA"
"7342","TTPAL","NA","NA"
"7343","ACOT7","-1.4817912340667601E-2","0.81747267233224297"
"7344","KIAA0101","0.88409444211228105","0.24266618124033401"
"7345","FDPS","-0.118466662208049","0.200825111035901"
"7346","LRR1","NA","NA"
"7347","CYP2U1","NA","NA"
"7348","RP11-419C5.2","NA","NA"
"7349","PODXL","-1.3100345882467199","8.6771366533215496E-7"
"7350","PWP2","0.84794193048168498","8.8812331094860194E-6"
"7351","PRRC2A","-0.99188044356368599","9.9418482540873099E-8"
"7352","PRDM15","NA","NA"
"7353","DUS1L","NA","NA"
"7354","TUBE1","NA","NA"
"7355","ATP6V1F","0.160148531369396","0.71680966957647796"
"7356","ZBTB22","NA","NA"
"7357","MSRA","-0.31943570733633297","0.64388972058051697"
"7358","FBXO18","NA","NA"
"7359","MDFIC","NA","NA"
"7360","ZNF605","NA","NA"
"7361","FRA10AC1","-0.36478830084420499","0.78644926905902801"
"7362","CEBPD","NA","NA"
"7363","GSN","-0.150482047540484","0.65849134040373303"
"7364","EPHX1","-0.191461154594773","0.26384525599752101"
"7365","ALDOC","2.96651873823566E-2","0.44373885259468498"
"7366","DENND6A","NA","NA"
"7367","EXOC4","-4.8225002252798202E-2","0.61705847476657905"
"7368","PDE8B","NA","NA"
"7369","C17orf89","NA","NA"
"7370","RP11-59H1.3","NA","NA"
"7371","SMIM15","NA","NA"
"7372","SLC31A1","NA","NA"
"7373","ZNF713","NA","NA"
"7374","RPRD1A","-7.0125683152917001E-3","0.94296807116718195"
"7375","GAPDH","-0.17761540402571899","7.3838495088987996E-8"
"7376","ZNF554","NA","NA"
"7377","CARS","NA","NA"
"7378","FIBIN","NA","NA"
"7379","PARN","-0.474045019116417","0.785147108794087"
"7380","MPZL1","-0.62024310199114296","0.14775268575938599"
"7381","MEA1","-0.54060831107791796","0.80709293488147504"
"7382","RAB11FIP2","NA","NA"
"7383","NFE2L1","NA","NA"
"7384","LRRC37B","-4.7118102239924804","1.3269655577168299E-2"
"7385","RBBP4","NA","NA"
"7386","ABCC3","NA","NA"
"7387","STT3A","-0.10283725456868301","0.108795728390993"
"7388","DEF8","NA","NA"
"7389","HDGFRP2","-0.27337915805046598","0.12010908134146001"
"7390","DDX11","NA","NA"
"7391","SUN1","NA","NA"
"7392","ADAMTS5","NA","NA"
"7393","EP400","-0.52737655777748205","0.70459757588190097"
"7394","MAPKAPK5","NA","NA"
"7395","NMT1","-0.15733362836906001","0.19669744028243599"
"7396","ZNF12","NA","NA"
"7397","NBPF14","NA","NA"
"7398","CPNE1","0.10051193296531","0.140310045586616"
"7399","SIVA1","NA","NA"
"7400","MTFMT","NA","NA"
"7401","FBXO22","0.104472897475301","0.99073649667332597"
"7402","SZRD1","-0.201036719473701","0.81002529478477703"
"7403","TMEM201","NA","NA"
"7404","ADSS","-6.3171541093010902E-2","0.52945506837725997"
"7405","MFSD10","-0.118512469315635","0.64926746066633001"
"7406","VKORC1","NA","NA"
"7407","VKORC1","NA","NA"
"7408","TRAPPC10","NA","NA"
"7409","RBX1","-0.121337544967879","0.77168455441370198"
"7410","PITRM1","1.8617671000268499E-2","0.89323754988635196"
"7411","CMAS","0.41674453243052001","8.0879077722967693E-2"
"7412","ALPL","-9.0658244980009794E-2","0.11844050768608499"
"7413","REEP3","0.43246744413459598","0.14462515497359599"
"7414","ZSWIM3","NA","NA"
"7415","SH3BGRL3","9.4050345979335107E-2","0.47453576265277903"
"7416","ANAPC15","NA","NA"
"7417","MRPL27","-0.24514766041258201","0.79155453643232199"
"7418","C7orf73","NA","NA"
"7419","LAMC1","-6.3710310945128495E-2","0.29363778461656398"
"7420","TRIM59","NA","NA"
"7421","TRIM59","NA","NA"
"7422","LANCL1","-0.15084366249925499","0.55171781096056405"
"7423","UBE2V2","-0.265922117168362","0.88126923688039804"
"7424","HYAL3","NA","NA"
"7425","NUF2","-1.3787601503626801","9.63255320072145E-4"
"7426","FRG1B","NA","NA"
"7427","SEC16A","-0.80925901670528599","1.2746098092936999E-4"
"7428","C3orf37","NA","NA"
"7429","AKR1C1","2.9377652872047601E-2","0.904739960081962"
"7430","ITGB5","-0.17612462934412701","7.0613967838509095E-2"
"7431","LTBP2","3.0211546068525701E-2","0.77276384644380403"
"7432","PKIA","-5.2687982630713497E-2","0.91301453782588604"
"7433","FGFRL1","NA","NA"
"7434","FZD6","NA","NA"
"7435","TM7SF3","NA","NA"
"7436","CDS2","8.1127124785324606E-2","0.77463937917320702"
"7437","EIF4EBP1","1.27494739834793","0.59735071910002302"
"7438","RFX1","NA","NA"
"7439","ZDHHC6","NA","NA"
"7440","UQCC","NA","NA"
"7441","PRICKLE3","NA","NA"
"7442","FTH1","-0.104828219712909","0.40462176405207501"
"7443","AURKA","NA","NA"
"7444","LEPRE1","-0.169560715267565","7.9835342333988094E-3"
"7445","HIRIP3","-0.29030028820162601","0.67458282371663303"
"7446","THG1L","-4.4611763400601301E-2","0.90910853783745305"
"7447","NAGLU","-0.515289050076845","0.38975239379618798"
"7448","C4orf3","NA","NA"
"7449","PDAP1","6.4401804566238105E-2","0.66790702831866"
"7450","C20orf112","NA","NA"
"7451","SLC25A39","NA","NA"
"7452","ZBTB48","NA","NA"
"7453","GTF2IRD2","NA","NA"
"7454","UBE2E2","3.9502857060428102E-2","0.966281669739944"
"7455","CLCN7","NA","NA"
"7456","STRA13","NA","NA"
"7457","FIBCD1","NA","NA"
"7458","ZNF584","NA","NA"
"7459","S100A10","0.27976731004150102","0.136117220513123"
"7460","OSBPL3","-4.6426061958845004","2.6507475953950501E-2"
"7461","SLK","-5.3006168468885402E-2","0.59738367903142298"
"7462","ETHE1","-5.5688070510348298E-2","0.77235340651253503"
"7463","MTFR1L","-0.37390445553887097","0.71515880564634304"
"7464","TOR3A","NA","NA"
"7465","PLP2","1.29849221083069","0.55683958174038395"
"7466","ZNF75D","NA","NA"
"7467","ANKAR","NA","NA"
"7468","TTC4","NA","NA"
"7469","WRAP73","NA","NA"
"7470","TSPAN10","5.1362913311676204","1.1091028706016399E-2"
"7471","TRIB2","NA","NA"
"7472","PCMTD2","NA","NA"
"7473","ZMYND11","NA","NA"
"7474","RBM12B","-0.30160892305078801","0.32540420720580598"
"7475","ZNF266","NA","NA"
"7476","PCYOX1","-6.2987446826938007E-2","0.58904697669766104"
"7477","AUTS2","NA","NA"
"7478","DPY19L4","NA","NA"
"7479","LAMB3","NA","NA"
"7480","AL591845.1","NA","NA"
"7481","ITFG3","NA","NA"
"7482","ITFG3","NA","NA"
"7483","DPCD","-0.31708635155055698","0.57105915495427295"
"7484","RASSF1","NA","NA"
"7485","CHMP4A","0.12921706409523201","0.81734786164181406"
"7486","FARSB","-7.4912042572744503E-2","0.21674936358924099"
"7487","ZNF680","NA","NA"
"7488","SLC2A13","NA","NA"
"7489","VARS2","NA","NA"
"7490","LONRF1","NA","NA"
"7491","TUBGCP4","NA","NA"
"7492","ZDHHC4","NA","NA"
"7493","MRPL54","NA","NA"
"7494","CIB1","NA","NA"
"7495","PRAF2","0.38796836846862998","4.8609668505414101E-2"
"7496","PRAF2","0.38796836846862998","4.8609668505414101E-2"
"7497","RRAGA","NA","NA"
"7498","COL28A1","NA","NA"
"7499","RELB","NA","NA"
"7500","COMT","0.13250650654999899","0.16158801606460499"
"7501","PTRF","-5.3464593986030297E-2","0.37902370863725698"
"7502","SWI5","NA","NA"
"7503","PPA2","0.119523554447436","0.60733616330284601"
"7504","DNPH1","-0.16236999958161899","0.87030490522086001"
"7505","DLG1","-0.55045465534582405","1.9935790116892599E-5"
"7506","CAMK1D","NA","NA"
"7507","MTIF2","NA","NA"
"7508","GRSF1","-1.09043110684547","1.8489304330983E-3"
"7509","DYRK2","NA","NA"
"7510","HRSP12","0.332277409250752","0.93346318536765105"
"7511","CEP55","NA","NA"
"7512","TTC28","NA","NA"
"7513","GGT5","-9.1008785657863897E-2","0.470170601142817"
"7514","HNRNPUL2","-9.58854864453179E-2","9.58683577257185E-2"
"7515","ACO1","3.6580017711778101E-2","0.67465296573897204"
"7516","CSNK1E","-0.30444105494752799","0.44662202606676299"
"7517","ARHGAP18","-6.6017663819300396E-2","0.23279460785459399"
"7518","FBXL14","NA","NA"
"7519","LIAS","NA","NA"
"7520","SF3A2","NA","NA"
"7521","GANC","NA","NA"
"7522","TIMM13","-8.9895011570377395E-2","0.88952318369098604"
"7523","INO80B","NA","NA"
"7524","ERCC4","NA","NA"
"7525","LPP","-0.477075227732848","5.3246705653187797E-5"
"7526","AK3","-0.18187558490901001","0.16281559718149499"
"7527","AK3","-0.18187558490901001","0.16281559718149499"
"7528","ZNF221","NA","NA"
"7529","MARCKS","0.37428303348146902","5.2228418708174097E-4"
"7530","CD109","-0.172270578919901","0.38922077494063101"
"7531","C12orf52","NA","NA"
"7532","TMEM67","NA","NA"
"7533","TEP1","0.21491378828917199","0.88401375399642501"
"7534","CDC25B","NA","NA"
"7535","EIF2D","-0.68755875088549101","1.3244058977051399E-2"
"7536","SLC25A51","NA","NA"
"7537","MYOCD","NA","NA"
"7538","NMI","-0.43181684119755498","0.76667882761501405"
"7539","NCK2","0.18737067131118601","0.66471730070281998"
"7540","EXOSC8","-0.464622170534228","0.45097909649190998"
"7541","DENND1A","NA","NA"
"7542","OSGIN1","NA","NA"
"7543","EFCAB7","NA","NA"
"7544","CEP104","NA","NA"
"7545","E2F4","NA","NA"
"7546","CETN3","0.163461552318695","0.83176234567406504"
"7547","ARMCX3","0.86488051997908699","4.1431065363212902E-8"
"7548","IPO8","0.146486152910486","0.47214007976726302"
"7549","ALKBH6","NA","NA"
"7550","DFFB","NA","NA"
"7551","REP15","NA","NA"
"7552","FAM127A","-7.44305644001554E-2","0.79737485987393397"
"7553","TMEM141","NA","NA"
"7554","FER1L4","NA","NA"
"7555","UBXN11","NA","NA"
"7556","EPN2","-0.55125173350170598","5.7520946995541201E-2"
"7557","ZNF428","-0.80186191327612","5.75617928697378E-3"
"7558","CTAGE5","-1.3271249119956601","3.25744146694995E-2"
"7559","GTPBP6","NA","NA"
"7560","STRIP2","NA","NA"
"7561","TMEM8A","NA","NA"
"7562","CLPP","0.31186752445557703","0.65316226381656395"
"7563","SPAG4","NA","NA"
"7564","DNAJC5","-0.72430013436512797","0.193935948966449"
"7565","ARL6IP4","-0.40393236600863602","0.22601587585286201"
"7566","FAM21A","-2.1880033629609899","2.2856083010953602E-3"
"7567","STX8","NA","NA"
"7568","GNG10","NA","NA"
"7569","IGSF3","NA","NA"
"7570","CMAHP","NA","NA"
"7571","HLTF","NA","NA"
"7572","SLC25A20","-1.3730058212262699","4.9870303464569402E-2"
"7573","DNAJC4","NA","NA"
"7574","GADD45GIP1","0.31083332832081401","0.48037103365357098"
"7575","YIF1B","-2.4757037156229299E-2","0.94539659709464496"
"7576","PARD6G","NA","NA"
"7577","MGAT1","-0.22274054902507101","0.27884033646585199"
"7578","MRP63","-0.21941035632962899","0.68389833031647496"
"7579","TSHZ3","NA","NA"
"7580","RABL5","NA","NA"
"7581","IFNAR2","NA","NA"
"7582","IFNAR2","NA","NA"
"7583","VPS8","NA","NA"
"7584","XRCC6BP1","NA","NA"
"7585","SMYD5","-1.1662431789667","0.51809065559702305"
"7586","APOM","7.3724035943479","0"
"7587","IARS","NA","NA"
"7588","BCL6","NA","NA"
"7589","ARMCX6","NA","NA"
"7590","GLT8D2","NA","NA"
"7591","TAF10","NA","NA"
"7592","TNFAIP1","NA","NA"
"7593","TMEM18","-4.3557094459636199","1.6207537726365601E-2"
"7594","KLHDC4","0.14889177172740001","0.98591767439633204"
"7595","IGF2BP2","-1.0512654781180699","3.3478815670419499E-26"
"7596","SH3BP4","NA","NA"
"7597","FKBP8","0.18300128520285999","7.5915103802864606E-2"
"7598","DYNC2LI1","NA","NA"
"7599","THADA","0.27613920754557097","0.354122300869609"
"7600","SLC12A8","NA","NA"
"7601","TMEM242","NA","NA"
"7602","ZMYND19","NA","NA"
"7603","NDUFS2","-0.73805791451344405","3.5129278456363399E-3"
"7604","RNASEH2B","0.317027863995689","0.64706130487246905"
"7605","GPD1L","NA","NA"
"7606","CAMK2D","0.16783123806132999","3.8961862922697203E-2"
"7607","NBPF20","NA","NA"
"7608","CTSL1","NA","NA"
"7609","IFITM3","-0.200192643160223","0.88184910456629395"
"7610","MRPL1","NA","NA"
"7611","TPGS2","NA","NA"
"7612","APH1A","NA","NA"
"7613","WWP2","NA","NA"
"7614","ATP11C","NA","NA"
"7615","BFAR","NA","NA"
"7616","PTPRF","NA","NA"
"7617","SLC35B2","-2.0523006837137099E-2","0.91874811161202596"
"7618","KIFC1","0.84377991492960802","2.9478183586184301E-5"
"7619","NAA40","-1.2348950191658301","0.49029612248899801"
"7620","FITM2","NA","NA"
"7621","MT3","NA","NA"
"7622","GGA2","NA","NA"
"7623","RNPEP","-7.4326637496973394E-2","0.244196672818977"
"7624","ZNF280D","NA","NA"
"7625","ZNF606","NA","NA"
"7626","TBL1X","NA","NA"
"7627","ICT1","-0.34229336561261398","0.78876112755273098"
"7628","HAGH","-0.12990814613232299","0.55904490111068605"
"7629","AIG1","NA","NA"
"7630","ICMT","0.109228883795694","0.98716814994011304"
"7631","PDXDC1","0.42658437899989199","0.86895939844617198"
"7632","MRPS34","-0.46687598818375597","0.118409035505499"
"7633","TRABD","NA","NA"
"7634","DPY19L2P1","NA","NA"
"7635","CDK5RAP3","-0.19577803129093099","0.11072062741871901"
"7636","ENOX2","NA","NA"
"7637","TDP1","-0.29892860593279602","0.85632784324474298"
"7638","GPR137","NA","NA"
"7639","PHLDB2","-1.08133428043154","0.44011409931537399"
"7640","RNF5","NA","NA"
"7641","GTDC1","NA","NA"
"7642","NUBP1","-8.3755754061686394E-2","0.92378362667106695"
"7643","MAGEH1","NA","NA"
"7644","PTCD2","NA","NA"
"7645","ZNF652","NA","NA"
"7646","ADAM23","NA","NA"
"7647","CAPN7","NA","NA"
"7648","C3orf67","NA","NA"
"7649","GPI","-1.1274181970539501E-2","0.72391445876160998"
"7650","PROSER2","NA","NA"
"7651","UQCRC1","0.15789466597863","3.08763963546742E-2"
"7652","RGS5","NA","NA"
"7653","HPS1","NA","NA"
"7654","PNMA1","NA","NA"
"7655","ITGA10","-0.25398623306162499","0.22250506096012601"
"7656","SCG2","NA","NA"
"7657","NBPF11","NA","NA"
"7658","RPA1","6.32326280628618E-4","0.97438812770555905"
"7659","TALDO1","-1.16678978281246E-2","0.88162960909701005"
"7660","NRD1","0.20324334501008201","1.9454335024107702E-2"
"7661","DDX50","-0.116961452525674","0.52148406335849096"
"7662","NUDT13","NA","NA"
"7663","LZTFL1","-7.8281627667936109E-3","0.99776816615838904"
"7664","C14orf142","-0.289130936827804","0.88205172903429896"
"7665","AGXT2L2","NA","NA"
"7666","RRAGB","0.18755861625946499","0.411327814139679"
"7667","SLC16A7","NA","NA"
"7668","STEAP2","NA","NA"
"7669","FAM206A","NA","NA"
"7670","CHAF1B","NA","NA"
"7671","CHCHD10","NA","NA"
"7672","GTF3A","NA","NA"
"7673","RPA3","-0.19585611191413699","0.73910309232279203"
"7674","ACTB","-0.153910239783525","2.0279918553590601E-4"
"7675","ZNF583","NA","NA"
"7676","PDCD6","-0.282156351034963","5.9574914665195197E-2"
"7677","ERLIN1","-6.4957987334163803E-2","0.61772122760327297"
"7678","KIF3C","NA","NA"
"7679","FKBP15","1.9866923257861699E-2","0.93313215835046104"
"7680","TJAP1","0.12961722391","0.75015471250154897"
"7681","EXOC3","-0.51272190285629604","8.3727273979347303E-2"
"7682","VEGFC","NA","NA"
"7683","SCARB2","-0.39383517535656498","1.19271246265839E-3"
"7684","NFATC3","NA","NA"
"7685","RSU1","-0.109730281607782","0.51101151546931101"
"7686","PPP1R26","NA","NA"
"7687","NFATC1","NA","NA"
"7688","EXOSC5","-0.667949376824435","0.256680030206069"
"7689","FKRP","NA","NA"
"7690","EPN1","-0.353889373504224","6.2290502586338101E-2"
"7691","TOP2B","-0.21043873676286001","1.0027261360859E-2"
"7692","BAP1","NA","NA"
"7693","ALDH1A1","0.10089194041380201","3.5091541022436598E-2"
"7694","SMARCA1","-1.21525946731908","7.9237010536697905E-2"
"7695","ZNF555","NA","NA"
"7696","FBLN7","NA","NA"
"7697","ZNF22","-0.14872467205336801","0.738663852878788"
"7698","DMWD","NA","NA"
"7699","FBN1","0.19727946372969299","0.166619700471696"
"7700","STUB1","-0.98190003053281005","1.32864937432798E-2"
"7701","FBXL18","-1.51660791945528","0.416802334393713"
"7702","RABGEF1","-2.2824961517530702","0.216832975817316"
"7703","KCTD7","NA","NA"
"7704","PLA2R1","NA","NA"
"7705","TBC1D20","-2.1626568465278799","0.299977228945628"
"7706","NAT10","8.9627870871772999E-2","0.43260709089091698"
"7707","GALNT16","NA","NA"
"7708","PUS10","NA","NA"
"7709","GYG1","-2.47019824821029","1.5424992064253299E-11"
"7710","SLC25A40","NA","NA"
"7711","OVCA2","6.5097640848546898E-2","0.93657439559646805"
"7712","SIM1","NA","NA"
"7713","EPSTI1","NA","NA"
"7714","CTD-2368P22.1","NA","NA"
"7715","CRYZ","-0.212179626879131","0.10027020947666899"
"7716","AGK","6.6238010592002294E-2","0.86236500722145604"
"7717","PRC1","NA","NA"
"7718","CCDC77","NA","NA"
"7719","BARD1","NA","NA"
"7720","ATP11A","NA","NA"
"7721","DST","0.29693892115646803","7.23863617178961E-3"
