"","geneid","hl.ratio","pval"
"336","HAND2","0.60407184887963505","0.78295621114052105"
"337","DSP","1.4545578485744901","1.8990373811089599E-48"
"338","C4orf32","5.5148760092336504","1.66087172559643E-18"
"339","HIST2H2AA4","NA","NA"
"340","COL4A3","NA","NA"
"341","SAMD8","NA","NA"
"342","AMDHD1","NA","NA"
"343","STX3","-0.13504466097083201","0.89481898077812305"
"344","C21orf91","NA","NA"
"345","PPFIBP2","NA","NA"
"346","SOCS2","NA","NA"
"347","MYLK3","NA","NA"
"348","PCSK9","NA","NA"
"349","LBH","NA","NA"
"350","SDC2","NA","NA"
"351","WDR47","3.1714982204242701","3.1318176629644E-2"
"352","PABPN1","0.37874095021945903","2.1278888355994799E-2"
"353","RASL11A","NA","NA"
"354","EAF2","NA","NA"
"355","COL21A1","4.8505240154927298","1.9680548871129501E-2"
"356","ARHGAP26","NA","NA"
"357","KIAA0922","NA","NA"
"358","SLIT2","NA","NA"
"359","TLL1","NA","NA"
"360","CCL26","NA","NA"
"361","PPP1R15A","NA","NA"
"362","PRSS35","NA","NA"
"363","ELOVL4","NA","NA"
"364","FAM107B","NA","NA"
"365","ANXA3","NA","NA"
"366","BZW2","0.64969280047296096","2.2283269766977E-7"
"367","VGLL2","NA","NA"
"368","DNM3","NA","NA"
"369","CCNE1","-0.63581362945414599","0.70526113128159595"
"370","DNER","NA","NA"
"371","TNIK","NA","NA"
"372","AOC2","NA","NA"
"373","MAP2","NA","NA"
"374","RND3","7.2148872865738296","1.6194813311848699E-193"
"375","C1orf115","NA","NA"
"376","LRRC70","NA","NA"
"377","TESK2","NA","NA"
"378","MYH3","NA","NA"
"379","TBX20","NA","NA"
"380","METTL21D","NA","NA"
"381","ALG11","2.3991483433977101","5.6701568582525502E-4"
"382","CNTD2","NA","NA"
"383","AC125232.1","NA","NA"
"384","RBM47","NA","NA"
"385","ZNF14","NA","NA"
"386","RP11-212D19.4","NA","NA"
"387","RAB38","NA","NA"
"388","FBXO6","NA","NA"
"389","CMYA5","NA","NA"
"390","ARHGAP20","NA","NA"
"391","SRRT","0.612433170581692","5.0384184765949399E-14"
"392","BMP2","NA","NA"
"393","RDH10","NA","NA"
"394","AGPAT9","NA","NA"
"395","HIST1H2BJ","-0.314295346793043","8.1449768818966893E-3"
"396","LMO4","NA","NA"
"397","FAM46B","NA","NA"
"398","AMACR","NA","NA"
"399","RFK","1.2251422459183301","0.41864996421529299"
"400","SIRT1","NA","NA"
"401","LRRC4","NA","NA"
"402","CTR9","2.38061541751923","1.49233240791364E-3"
"403","PAPOLG","4.6738130416006296","1.94469330153544E-3"
"404","CCDC11","NA","NA"
"405","MYB","NA","NA"
"406","ZNF92","NA","NA"
"407","NUDT4","3.2703351362388702","3.0967173327431002E-16"
"408","LGMN","NA","NA"
"409","ARHGEF3","NA","NA"
"410","DKK2","NA","NA"
"411","CDKN2AIP","0.50050369738771106","1.6067941727704701E-2"
"412","AOC3","NA","NA"
"413","RP11-82I10.1","NA","NA"
"414","KHDC1L","6.9728782032076504","0"
