"","id","hgnc_symbol"
"9341","ENSG00000161677","JOSD2"
"9342","ENSG00000142539",NA
"9343","ENSG00000167378","IRGQ"
"9344","ENSG00000105755","ETHE1"
"9345","ENSG00000185800","DMWD"
"9346","ENSG00000267022",NA
"9347","ENSG00000104946","TBC1D17"
"9348","ENSG00000104946","TBC1D17"
"9349","ENSG00000255730",NA
"9350","ENSG00000160439","RDH13"
"9351","ENSG00000160439","RDH13"
"9352","ENSG00000257103","LSM14A"
"9353","ENSG00000257103","LSM14A"
"9354","ENSG00000118162","KPTN"
"9355","ENSG00000134815","DHX34"
"9356","ENSG00000105321","CCDC9"
"9357","ENSG00000042753","AP2S1"
"9358","ENSG00000042753","AP2S1"
"9359","ENSG00000042753","AP2S1"
"9360","ENSG00000042753","AP2S1"
"9361","ENSG00000042753","AP2S1"
"9362","ENSG00000105197","TIMM50"
"9363","ENSG00000010361","FUZ"
"9364","ENSG00000010361","FUZ"
"9365","ENSG00000167766","ZNF83"
"9366","ENSG00000105698","USF2"
"9367","ENSG00000105698","USF2"
"9368","ENSG00000105698","USF2"
"9369","ENSG00000221923","ZNF880"
"9370","ENSG00000068903","SIRT2"
"9371","ENSG00000068903","SIRT2"
"9372","ENSG00000068903","SIRT2"
"9373","ENSG00000185453","ZSWIM9"
"9374","ENSG00000167635","ZNF146"
"9375","ENSG00000104824","HNRNPL"
"9376","ENSG00000104824","HNRNPL"
"9377","ENSG00000117877","CD3EAP"
"9378","ENSG00000117877","CD3EAP"
"9379","ENSG00000077348","EXOSC5"
"9380","ENSG00000011422","PLAUR"
"9381","ENSG00000011422","PLAUR"
"9382","ENSG00000011422","PLAUR"
"9383","ENSG00000011422","PLAUR"
"9384","ENSG00000076928","ARHGEF1"
"9385","ENSG00000076928","ARHGEF1"
"9386","ENSG00000142039","CCDC97"
"9387","ENSG00000104872","PIH1D1"
"9388","ENSG00000159917","ZNF235"
"9389","ENSG00000123810","B9D2"
"9390","ENSG00000125503","PPP1R12C"
"9391","ENSG00000176531","PHLDB3"
"9392","ENSG00000126267","COX6B1"
"9393","ENSG00000126267","COX6B1"
"9394","ENSG00000126267","COX6B1"
"9395","ENSG00000275183","LENG9"
"9396","ENSG00000120784","ZFP30"
"9397","ENSG00000198182","ZNF607"
"9398","ENSG00000104870","FCGRT"
"9399","ENSG00000133265","HSPBP1"
"9400","ENSG00000133265","HSPBP1"
"9401","ENSG00000263002","ZNF234"
"9402","ENSG00000267680","ZNF224"
"9403","ENSG00000104973","MED25"
"9404","ENSG00000105185","PDCD5"
"9405","ENSG00000171570","RAB4B-EGLN2"
"9406","ENSG00000004776","HSPB6"
"9407","ENSG00000205155","PSENEN"
"9408","ENSG00000105499","PLA2G4C"
"9409","ENSG00000105499","PLA2G4C"
"9410","ENSG00000105499","PLA2G4C"
"9411","ENSG00000105429","MEGF8"
"9412","ENSG00000105429","MEGF8"
"9413","ENSG00000125753","VASP"
"9414","ENSG00000104805","NUCB1"
"9415","ENSG00000099341","PSMD8"
"9416","ENSG00000131115","ZNF227"
"9417","ENSG00000142279","WTIP"
"9418","ENSG00000089327","FXYD5"
"9419","ENSG00000089327","FXYD5"
"9420","ENSG00000104881","PPP1R13L"
"9421","ENSG00000105438","KDELR1"
"9422","ENSG00000105447","GRWD1"
"9423","ENSG00000269469",NA
"9424","ENSG00000104936","DMPK"
"9425","ENSG00000104936","DMPK"
"9426","ENSG00000104936","DMPK"
"9427","ENSG00000104936","DMPK"
"9428","ENSG00000167615","LENG8"
"9429","ENSG00000011478","QPCTL"
"9430","ENSG00000011478","QPCTL"
"9431","ENSG00000125743","SNRPD2"
"9432","ENSG00000125743","SNRPD2"
"9433","ENSG00000125743","SNRPD2"
"9434","ENSG00000171827","ZNF570"
"9435","ENSG00000189164","ZNF527"
"9436","ENSG00000104852","SNRNP70"
"9437","ENSG00000104852","SNRNP70"
"9438","ENSG00000142528","ZNF473"
"9439","ENSG00000167645","YIF1B"
"9440","ENSG00000167645","YIF1B"
"9441","ENSG00000167645","YIF1B"
"9442","ENSG00000167645","YIF1B"
"9443","ENSG00000105738","SIPA1L3"
"9444","ENSG00000167578","RAB4B"
"9445","ENSG00000086544","ITPKC"
"9446","ENSG00000128626","MRPS12"
"9447","ENSG00000108107","RPL28"
"9448","ENSG00000108107","RPL28"
"9449","ENSG00000108107","RPL28"
"9450","ENSG00000108107","RPL28"
"9451","ENSG00000108107","RPL28"
"9452","ENSG00000105552","BCAT2"
"9453","ENSG00000079462","PAFAH1B3"
"9454","ENSG00000178980","SELENOW"
"9455","ENSG00000167380","ZNF226"
"9456","ENSG00000167380","ZNF226"
"9457","ENSG00000159882","ZNF230"
"9458","ENSG00000123815","COQ8B"
"9459","ENSG00000123815","COQ8B"
"9460","ENSG00000186026","ZNF284"
