Ensembl Gene ID,Ensembl Transcript ID,Associated Gene Name
ENSG00000043355,ENST00000376335,ZIC2
ENSG00000043355,ENST00000620342,ZIC2
ENSG00000181915,ENST00000373783,ADO
ENSG00000143450,ENST00000635322,OAZ3
ENSG00000143450,ENST00000321531,OAZ3
ENSG00000143450,ENST00000453029,OAZ3
ENSG00000143450,ENST00000479764,OAZ3
ENSG00000143450,ENST00000400999,OAZ3
ENSG00000143450,ENST00000635374,OAZ3
ENSG00000143450,ENST00000582415,OAZ3
ENSG00000143450,ENST00000627780,OAZ3
ENSG00000101981,ENST00000218099,F9
ENSG00000101981,ENST00000394090,F9
ENSG00000100297,ENST00000216122,MCM5
ENSG00000100297,ENST00000382011,MCM5
ENSG00000100297,ENST00000416905,MCM5
ENSG00000100297,ENST00000444778,MCM5
ENSG00000278362,ENST00000612896,NCR1
ENSG00000278362,ENST00000620906,NCR1
ENSG00000278362,ENST00000611105,NCR1
ENSG00000278362,ENST00000613135,NCR1
ENSG00000278362,ENST00000621059,NCR1
ENSG00000278362,ENST00000620296,NCR1
ENSG00000160588,ENST00000278949,MPZL3
ENSG00000160588,ENST00000525386,MPZL3
ENSG00000160588,ENST00000527472,MPZL3
ENSG00000115255,ENST00000233596,REEP6
ENSG00000115255,ENST00000395479,REEP6
ENSG00000258881,ENST00000606025,AC007040.11
ENSG00000170276,ENST00000304298,HSPB2
ENSG00000243244,ENST00000404752,STON1
ENSG00000243244,ENST00000406226,STON1
ENSG00000186280,ENST00000335080,KDM4D
ENSG00000186280,ENST00000536741,KDM4D
ENSG00000186280,ENST00000610872,KDM4D
ENSG00000179919,ENST00000326258,OR10A7
ENSG00000226257,ENST00000426802,STK19
ENSG00000226257,ENST00000452688,STK19
ENSG00000226257,ENST00000549310,STK19
ENSG00000113296,ENST00000350881,THBS4
ENSG00000113296,ENST00000511733,THBS4
ENSG00000117475,ENST00000367807,BLZF1
ENSG00000117475,ENST00000367808,BLZF1
ENSG00000117475,ENST00000329281,BLZF1
ENSG00000117475,ENST00000420531,BLZF1
ENSG00000117475,ENST00000426663,BLZF1
ENSG00000185189,ENST00000442628,NRBP2
ENSG00000185189,ENST00000530123,NRBP2
ENSG00000185189,ENST00000530347,NRBP2
ENSG00000086205,ENST00000256999,FOLH1
ENSG00000086205,ENST00000356696,FOLH1
ENSG00000086205,ENST00000340334,FOLH1
ENSG00000086205,ENST00000533034,FOLH1
ENSG00000086205,ENST00000529117,FOLH1
ENSG00000086205,ENST00000343844,FOLH1
ENSG00000147454,ENST00000519973,SLC25A37
ENSG00000147454,ENST00000523930,SLC25A37
ENSG00000141562,ENST00000579198,NARF
ENSG00000141562,ENST00000390006,NARF
ENSG00000141562,ENST00000580296,NARF
ENSG00000141562,ENST00000309794,NARF
ENSG00000141562,ENST00000345415,NARF
ENSG00000141562,ENST00000457415,NARF
ENSG00000141562,ENST00000584411,NARF
ENSG00000141562,ENST00000577432,NARF
ENSG00000141562,ENST00000577410,NARF
ENSG00000141562,ENST00000584513,NARF
ENSG00000141562,ENST00000412079,NARF
ENSG00000073910,ENST00000542859,FRY
ENSG00000073910,ENST00000436046,FRY
ENSG00000073910,ENST00000380217,FRY
ENSG00000073910,ENST00000380250,FRY
ENSG00000196975,ENST00000409920,ANXA4
ENSG00000196975,ENST00000394295,ANXA4
ENSG00000154114,ENST00000529397,TBCEL
ENSG00000154114,ENST00000528512,TBCEL
ENSG00000154114,ENST00000422003,TBCEL
ENSG00000154114,ENST00000524726,TBCEL
ENSG00000154114,ENST00000533134,TBCEL
ENSG00000232040,ENST00000452236,ZBED9
ENSG00000250364,ENST00000502578,OR12D3
ENSG00000250364,ENST00000551240,OR12D3
ENSG00000128652,ENST00000432796,HOXD3
ENSG00000128652,ENST00000410016,HOXD3
ENSG00000128652,ENST00000249440,HOXD3
ENSG00000125434,ENST00000579192,SLC25A35
ENSG00000125434,ENST00000380067,SLC25A35
ENSG00000125434,ENST00000580340,SLC25A35
ENSG00000125434,ENST00000577745,SLC25A35
ENSG00000151458,ENST00000504087,ANKRD50
ENSG00000151458,ENST00000515641,ANKRD50
ENSG00000105880,ENST00000222598,DLX5
ENSG00000105880,ENST00000486603,DLX5
ENSG00000102893,ENST00000566037,PHKB
ENSG00000102893,ENST00000566044,PHKB
ENSG00000102893,ENST00000299167,PHKB
ENSG00000102893,ENST00000323584,PHKB
ENSG00000102893,ENST00000563376,PHKB
ENSG00000102893,ENST00000567200,PHKB
ENSG00000102893,ENST00000564873,PHKB
ENSG00000102893,ENST00000568439,PHKB
ENSG00000102893,ENST00000566275,PHKB
ENSG00000102893,ENST00000564711,PHKB
ENSG00000186063,ENST00000340020,AIDA
ENSG00000186063,ENST00000355727,AIDA
ENSG00000170681,ENST00000307584,MURC
ENSG00000066405,ENST00000343735,CLDN18
ENSG00000066405,ENST00000183605,CLDN18
ENSG00000205279,ENST00000379445,CTXN3
ENSG00000205279,ENST00000395322,CTXN3
ENSG00000205279,ENST00000620385,CTXN3
ENSG00000166676,ENST00000572428,TVP23A
ENSG00000166676,ENST00000299866,TVP23A
ENSG00000166676,ENST00000572102,TVP23A
ENSG00000166676,ENST00000619408,TVP23A
ENSG00000166676,ENST00000612195,TVP23A
ENSG00000105137,ENST00000342784,SYDE1
ENSG00000105137,ENST00000597977,SYDE1
ENSG00000105137,ENST00000600440,SYDE1
ENSG00000105137,ENST00000600252,SYDE1
ENSG00000105137,ENST00000602203,SYDE1
ENSG00000205643,ENST00000404583,CDPF1
ENSG00000205643,ENST00000314567,CDPF1
ENSG00000205643,ENST00000404744,CDPF1
ENSG00000116675,ENST00000494710,DNAJC6
ENSG00000116675,ENST00000395325,DNAJC6
ENSG00000116675,ENST00000371069,DNAJC6
ENSG00000116675,ENST00000263441,DNAJC6
ENSG00000167081,ENST00000342287,PBX3
ENSG00000167081,ENST00000373487,PBX3
ENSG00000167081,ENST00000373489,PBX3
ENSG00000167081,ENST00000491787,PBX3
ENSG00000167081,ENST00000447726,PBX3
ENSG00000167081,ENST00000428092,PBX3
ENSG00000081791,ENST00000432126,KIAA0141
ENSG00000081791,ENST00000194118,KIAA0141
ENSG00000081791,ENST00000508751,KIAA0141
ENSG00000081791,ENST00000507481,KIAA0141
ENSG00000173221,ENST00000508780,GLRX
ENSG00000173221,ENST00000237858,GLRX
ENSG00000173221,ENST00000379979,GLRX
ENSG00000173221,ENST00000505427,GLRX
ENSG00000173221,ENST00000512469,GLRX
ENSG00000170959,ENST00000597505,DCDC1
ENSG00000170959,ENST00000452803,DCDC1
ENSG00000170959,ENST00000406071,DCDC1
ENSG00000172457,ENST00000302957,OR9G4
ENSG00000140367,ENST00000267938,UBE2Q2
ENSG00000140367,ENST00000569423,UBE2Q2
ENSG00000140367,ENST00000561851,UBE2Q2
ENSG00000140367,ENST00000426727,UBE2Q2
ENSG00000234154,ENST00000435204,HLA-DMB
ENSG00000234154,ENST00000441177,HLA-DMB
ENSG00000234154,ENST00000418759,HLA-DMB
ENSG00000234154,ENST00000424822,HLA-DMB
ENSG00000234154,ENST00000430099,HLA-DMB
ENSG00000087302,ENST00000261700,C14orf166
ENSG00000087302,ENST00000556760,C14orf166
ENSG00000087302,ENST00000553362,C14orf166
ENSG00000184500,ENST00000394236,PROS1
ENSG00000184500,ENST00000407433,PROS1
ENSG00000184500,ENST00000348974,PROS1
ENSG00000184500,ENST00000472684,PROS1
ENSG00000167088,ENST00000300413,SNRPD1
ENSG00000167088,ENST00000579618,SNRPD1
ENSG00000167088,ENST00000582475,SNRPD1
ENSG00000021826,ENST00000417946,CPS1
ENSG00000021826,ENST00000518043,CPS1
ENSG00000021826,ENST00000523702,CPS1
ENSG00000021826,ENST00000430249,CPS1
ENSG00000021826,ENST00000233072,CPS1
ENSG00000021826,ENST00000451903,CPS1
ENSG00000021826,ENST00000619804,CPS1
ENSG00000166501,ENST00000321728,PRKCB
ENSG00000166501,ENST00000303531,PRKCB
ENSG00000166501,ENST00000498058,PRKCB
ENSG00000166501,ENST00000498739,PRKCB
ENSG00000166501,ENST00000472066,PRKCB
ENSG00000166501,ENST00000466124,PRKCB
ENSG00000176986,ENST00000345254,SEC24C
ENSG00000176986,ENST00000339365,SEC24C
ENSG00000176986,ENST00000634508,SEC24C
ENSG00000143727,ENST00000272067,ACP1
ENSG00000143727,ENST00000272065,ACP1
ENSG00000143727,ENST00000407983,ACP1
ENSG00000143727,ENST00000439645,ACP1
ENSG00000143727,ENST00000405233,ACP1
ENSG00000111859,ENST00000379446,NEDD9
ENSG00000111859,ENST00000504387,NEDD9
ENSG00000111859,ENST00000379433,NEDD9
ENSG00000111859,ENST00000513989,NEDD9
ENSG00000111859,ENST00000397378,NEDD9
ENSG00000111859,ENST00000508546,NEDD9
ENSG00000111859,ENST00000620854,NEDD9
ENSG00000169871,ENST00000306085,TRIM56
ENSG00000169871,ENST00000412507,TRIM56
ENSG00000169871,ENST00000467847,TRIM56
ENSG00000213965,ENST00000397061,NUDT19
ENSG00000159189,ENST00000374640,C1QC
ENSG00000159189,ENST00000374639,C1QC
ENSG00000159189,ENST00000374637,C1QC
ENSG00000186943,ENST00000335040,OR13C8
ENSG00000120658,ENST00000261488,ENOX1
ENSG00000120658,ENST00000412891,ENOX1
ENSG00000134759,ENST00000543127,ELP2
ENSG00000134759,ENST00000358232,ELP2
ENSG00000134759,ENST00000351393,ELP2
ENSG00000134759,ENST00000442325,ELP2
ENSG00000134759,ENST00000423854,ELP2
ENSG00000134759,ENST00000350494,ELP2
ENSG00000134759,ENST00000542824,ELP2
ENSG00000115970,ENST00000405975,THADA
ENSG00000115970,ENST00000407351,THADA
ENSG00000115970,ENST00000405006,THADA
ENSG00000115970,ENST00000402360,THADA
ENSG00000115970,ENST00000404790,THADA
ENSG00000115970,ENST00000403856,THADA
ENSG00000204604,ENST00000595646,ZNF468
ENSG00000204604,ENST00000243639,ZNF468
ENSG00000204604,ENST00000597924,ZNF468
ENSG00000204604,ENST00000601847,ZNF468
ENSG00000204604,ENST00000396409,ZNF468
ENSG00000100220,ENST00000216038,RTCB
ENSG00000142538,ENST00000270631,PTH2
ENSG00000091704,ENST00000481342,CPA1
ENSG00000091704,ENST00000011292,CPA1
ENSG00000091704,ENST00000604896,CPA1
ENSG00000091704,ENST00000476062,CPA1
ENSG00000091704,ENST00000484324,CPA1
ENSG00000164675,ENST00000466202,IQUB
ENSG00000164675,ENST00000324698,IQUB
ENSG00000078114,ENST00000377122,NEBL
